Key,Translation
BuffDescription.BrainOfConfusionBuff,Increased critical chance
BuffDescription.BrainOfCthulhuPet,It's crawling around . . . icky
BuffDescription.BrokenArmor,Defense is cut in half
BuffDescription.Builder,Increased placement speed and range
BuffDescription.BunnyMount,You are craving carrots
BuffDescription.Burning,Losing life and slowed movement
BuffDescription.Calm,Decreased enemy spawn rate
BuffDescription.Campfire,Life regen is slightly increased
BuffDescription.CatBast,Defense is increased by 5
BuffDescription.ChaosState,Using the Rod of Discord will take life
BuffDescription.Chilled,Your movement speed has been reduced
BuffDescription.Clairvoyance,Magic powers are increased
BuffDescription.CoffinMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.CoffinMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.CompanionCube,"Will never threaten to stab you and, in fact, cannot speak"
BuffDescription.Confused,Movement is reversed
BuffDescription.CoolWhipPlayerBuff,Summons a snowflake to fight for you
BuffDescription.Crate,Greater chance of fishing up a crate
BuffDescription.CrimsonHeart,A magical heart that provides light
BuffDescription.Cursed,Cannot use any items
BuffDescription.CursedInferno,Losing life
BuffDescription.CursedSapling,A cursed sapling is following you
BuffDescription.CuteFishronMount,Just don't make it crawl.
BuffDescription.Dangersense,You can see nearby hazards
BuffDescription.DarkHorseMount,Riding a Dark Horse
BuffDescription.DarkMageBookMount,The Book is now helping in your guidance
BuffDescription.Darkness,Decreased light vision
BuffDescription.Daybreak,Incenerated by solar rays
BuffDescription.Dazed,Movement is greatly slowed
BuffDescription.DD2BetsyPet,Itsy Betsy is following you
BuffDescription.DD2OgrePet,He's got a big stick and he doesn't know how to use it
BuffDescription.DeadlySphere,The Deadly Sphere will fight for you
BuffDescription.DesertMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.DesertMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.DestroyerPet,For destruction on the go
BuffDescription.DiamondMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.DiamondMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.DiggingMoleMinecartLeft,The Molecart will dig for you
BuffDescription.DiggingMoleMinecartRight,The Molecart will dig for you
BuffDescription.DrillMount,Riding in a flying drill
BuffDescription.DryadsWard,The power of nature protects you
BuffDescription.DryadsWardDebuff,The power of nature compells you
BuffDescription.DukeFishronPet,A sea-green marquess of the abyss
BuffDescription.DynamiteKitten,Not for use in cannons
BuffDescription.EaterOfWorldsPet,May ruin several backyards
BuffDescription.Electrified,You cannot move
BuffDescription.EmeraldMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.EmeraldMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.EmpressBlade,The Blades of the Empress will fight for you
BuffDescription.Endurance,10% reduced damage
BuffDescription.EverscreamPet,Taking the tree for a walk!
BuffDescription.EyeballSpring,An eyeball spring is following you
BuffDescription.EyeOfCthulhuPet,Just keepin' an eye out . . .
BuffDescription.FairyBlue,A fairy is following you
BuffDescription.FairyGreen,A fairy is following you
BuffDescription.FairyQueenPet,The light of the fair folk illuminates all
BuffDescription.FairyRed,A fairy is following you
BuffDescription.Featherfall,Press UP or DOWN to control speed of descent
BuffDescription.FennecFox,"What does the fox say? Better yet, what does the fox HEAR?!"
BuffDescription.Fishing,Increased fishing power
BuffDescription.FishMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.FishMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.Flamingo,Flamingogogo
BuffDescription.FlinxMinion,The snow flinx will fight for you
BuffDescription.Flipper,Move like normal in water
BuffDescription.Frostburn,It's either really hot or really cold. Either way it REALLY hurts
BuffDescription.Frostburn2,It's either really hot or really cold. Either way it REALLY hurts
BuffDescription.Frozen,You can't move!
BuffDescription.GelBalloonBuff,You are slimy and sparkly
BuffDescription.Gills,Breathe water instead of air
BuffDescription.GlitteryButterfly,"Truly, truly outrageous"
BuffDescription.GolemPet,"Got myself a crying, talking, sleeping, walking, living idol!"
BuffDescription.GolfCartMount,A fair way to cross the fairway
BuffDescription.Gravitation,Press UP to reverse gravity
BuffDescription.HeartLamp,Life regen is increased
BuffDescription.Heartreach,Increased heart pickup range
BuffDescription.HellMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.HellMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.Honey,Life regeneration is increased
BuffDescription.HornetMinion,The hornet will fight for you
BuffDescription.Horrified,"You have seen something nasty, there is no escape."
BuffDescription.Hunter,Shows the location of enemies
BuffDescription.IceBarrier,Damage taken is reduced by 25%
BuffDescription.IceQueenPet,Ice Queen has been reborn as your companion
BuffDescription.Ichor,Reduced defense
BuffDescription.ImpMinion,The imp will fight for you
BuffDescription.Inferno,Nearby enemies are ignited
BuffDescription.Invisibility,Grants invisibility
BuffDescription.Ironskin,Increase defense by 8
BuffDescription.KingSlimePet,He answers to a higher authority
BuffDescription.LadybugMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.LadybugMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.LavaSharkMount,Surfing the molten seas!
BuffDescription.LeafCrystal,Shoots crystal leaves at nearby enemies
BuffDescription.Lifeforce,20% increased max life
BuffDescription.LilHarpy,Cuteness from above
BuffDescription.Lovestruck,You are in love!
BuffDescription.Lucky,You are feeling pretty lucky
BuffDescription.LunaticCultistPet,It keeps looking at the Moon
BuffDescription.MagicLantern,An enchanted lantern is lighting your way
BuffDescription.MagicPower,20% increased magic damage
BuffDescription.MajesticHorseMount,Riding a Majestic Horse
BuffDescription.ManaRegeneration,Increased mana regeneration
BuffDescription.ManaSickness,Magic damage reduced by 
BuffDescription.MartianPet,"How do you do, fellow humans?"
BuffDescription.MeowmereMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.MeowmereMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.Merfolk,Can breathe and move easily underwater
BuffDescription.Midas,Drop more money on death
BuffDescription.MinecartLeft,Riding in a minecart
BuffDescription.MinecartLeftMech,Riding in a minecart
BuffDescription.MinecartLeftWood,Riding in a minecart
BuffDescription.MinecartRight,Riding in a minecart
BuffDescription.MinecartRightMech,Riding in a minecart
BuffDescription.MinecartRightWood,Riding in a minecart
BuffDescription.MiniMinotaur,How do you defeat a mini Minotaur?
BuffDescription.Mining,25% increased mining speed
BuffDescription.MonsterBanner,Increased damage and defense from the following:
BuffDescription.MoonLeech,You are unable to absorb healing effects
BuffDescription.MoonLordPet,A friend from beyond
BuffDescription.NebulaUpDmg1,15% increased damage
BuffDescription.NebulaUpDmg2,30% increased damage
BuffDescription.NebulaUpDmg3,45% increased damage
BuffDescription.NebulaUpLife1,Increased life regeneration
BuffDescription.NebulaUpLife2,Increased life regeneration
BuffDescription.NebulaUpLife3,Increased life regeneration
BuffDescription.NebulaUpMana1,Increased mana regeneration
BuffDescription.NebulaUpMana2,Increased mana regeneration
BuffDescription.NebulaUpMana3,Increased mana regeneration
BuffDescription.NightOwl,Increased night vision
BuffDescription.NoBuilding,You have lost the power of creation!
BuffDescription.ObsidianSkin,Immune to lava
BuffDescription.Obstructed,You can't see!
BuffDescription.OgreSpit,Movement is significantly reduced
BuffDescription.Oiled,Taking more damage from being on fire
BuffDescription.OnFire,Slowly losing life
BuffDescription.OnFire3,Slowly losing life
BuffDescription.PaintedHorseMount,Riding a Painted Horse
BuffDescription.PaladinsShield,25% of damage taken will be redirected to another player
BuffDescription.Panic,Movement speed is increased
BuffDescription.ParryDamageBuff,500% increased damage for next melee strike
BuffDescription.PartyMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.PartyMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.PeaceCandle,Decreased monster spawn rate
BuffDescription.PetBunny,I think it wants your carrot
BuffDescription.PetDD2Dragon,A hoardagron is following you
BuffDescription.PetDD2Gato,A propeller gato is following you
BuffDescription.PetDD2Ghost,A flickerwick is following you
BuffDescription.PetLizard,Chillin' like a reptilian
BuffDescription.PetParrot,Polly wants the cracker
BuffDescription.PetSapling,A little sapling is following you
BuffDescription.PetSpider,A spider is following you
BuffDescription.PetTurtle,Happy turtle time!
BuffDescription.PigronMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.PigronMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.PigronMount,Now you see me....
BuffDescription.PirateMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.PirateMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.PirateMinion,The pirate will fight for you
BuffDescription.PirateShipMount,You're the captain now
BuffDescription.PlanteraPet,"What exactly does it eat, anyway?"
BuffDescription.Plantero,Little Plantero is following you
BuffDescription.PogoStickMount,Kss-shik! Kss-shik! Kss-shik!
BuffDescription.Poisoned,Slowly losing life
BuffDescription.PotionSickness,Cannot consume anymore healing items
BuffDescription.PumpkingPet,A small Jack 'O Lantern is fiendishly lighting the way
BuffDescription.Puppy,A puppy is following you
BuffDescription.Pygmies,The pygmies will fight for you
BuffDescription.QueenBeePet,A honey bee is following you
BuffDescription.QueenSlimeMount,BOING FLAP BOING!
BuffDescription.QueenSlimePet,She is the higher authority
BuffDescription.Rabies,"Increased damage, Decreased life regen, Causes status effects"
BuffDescription.Rage,10% increased critical chance
BuffDescription.RapidHealing,Life regeneration is greatly increased
BuffDescription.Ravens,The ravens will attack your enemies
BuffDescription.Regeneration,Provides life regeneration
BuffDescription.RubyMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.RubyMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.Rudolph,Riding the red nosed reindeer
BuffDescription.SantankMount,Crossing off the naughty list . . .
BuffDescription.SapphireMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.SapphireMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.ScutlixMount,Pew Pew
BuffDescription.ScytheWhipPlayerBuff,Melee speed is increased
BuffDescription.ShadowDodge,You will dodge the next attack
BuffDescription.ShadowFlame,Losing life
BuffDescription.ShadowMimic,A shadow mimic is following you
BuffDescription.ShadowOrb,A magical orb that provides light
BuffDescription.SharknadoMinion,The sharknado will fight for you
BuffDescription.SharkPup,Doo doo doo doo doo doo
BuffDescription.Sharpened,Melee weapons have armor penetration
BuffDescription.Shine,Emitting light
BuffDescription.ShroomMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.ShroomMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.Silenced,Cannot use items that require mana
BuffDescription.SkeletronPet,Skeletron Jr. Is following you
BuffDescription.SkeletronPrimePet,Each tool can commit murder
BuffDescription.Slimed,You are slimy and sticky
BuffDescription.SlimeMount,BOOOIIINNNG!
BuffDescription.Slow,Movement speed is reduced
BuffDescription.Smolstar,Death by a thousand cuts
BuffDescription.SolarShield1,"Damage taken reduced by 30%, repel enemies when taking damage"
BuffDescription.SolarShield2,"Damage taken reduced by 30%, repel enemies when taking damage"
BuffDescription.SolarShield3,"Damage taken reduced by 30%, repel enemies when taking damage"
BuffDescription.Sonar,You can see what's biting your hook
BuffDescription.SoulDrain,Increased life regeneration
BuffDescription.Spelunker,Shows the location of treasure and ore
BuffDescription.SpiderMinion,The spider will fight for you
BuffDescription.SpookyWoodMount,"Run, forest, run!"
BuffDescription.Squashling,A squashling is following you
BuffDescription.StardustDragonMinion,The stardust dragon will protect you
BuffDescription.StardustGuardianMinion,The stardust guardian will protect you
BuffDescription.StardustMinion,The stardust cell will fight for you
BuffDescription.StardustMinionBleed,being eaten by cells
BuffDescription.StarInBottle,Increased mana regeneration
BuffDescription.SteampunkMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.SteampunkMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.Stinky,You smell terrible
BuffDescription.Stoned,You are completely petrified!
BuffDescription.StormTiger,The desert tiger will fight beside you
BuffDescription.Suffocation,Losing life
BuffDescription.SugarGlider,A sugar glider is following you
BuffDescription.SugarRush,20% increased movement and mining speed
BuffDescription.Summoning,Increased max number of minions
BuffDescription.Sunflower,Movement speed increased and monster spawns reduced
BuffDescription.SunflowerMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.SunflowerMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.SuspiciousTentacle,A suspicious looking eye that provides light
BuffDescription.Swiftness,25% increased movement speed
BuffDescription.SwordWhipPlayerBuff,Melee speed is increased
BuffDescription.TheTongue,You are being sucked into the mouth
BuffDescription.Thorns,Attackers also take damage
BuffDescription.ThornWhipPlayerBuff,Melee speed is increased
BuffDescription.TikiSpirit,A friendly spirit is following you
BuffDescription.Tipsy,"Increased melee abilities, lowered defense"
BuffDescription.Titan,Increased knockback
BuffDescription.TitaniumStorm,Defensive shards surround you
BuffDescription.TopazMinecartLeft,{$BuffDescription.MinecartLeft}
BuffDescription.TopazMinecartRight,{$BuffDescription.MinecartRight}
BuffDescription.TurtleMount,"Slow if by land, zoom if by sea"
BuffDescription.TwinEyesMinion,The twins will fight for you
BuffDescription.TwinsPet,You have special eyes!
BuffDescription.UFOMinion,The UFO will fight for you
BuffDescription.UFOMount,It's a good thing you had a MAC
BuffDescription.UnicornMount,Charge ahead... fabulously!
BuffDescription.UpbeatStar,Estee is following you
BuffDescription.VampireFrog,The vampire frog will fight for you
BuffDescription.Venom,Losing life
BuffDescription.VoltBunny,A volt bunny is ecstatic about you
BuffDescription.VortexDebuff,Gravity around you is distorted
BuffDescription.WallOfFleshGoatMount,This ride is totally metal!
BuffDescription.Warmth,Reduced damage from cold sources
BuffDescription.WaterCandle,Increased monster spawn rate
BuffDescription.WaterWalking,Press DOWN to enter water
BuffDescription.Weak,Physical abilities are decreased
BuffDescription.WeaponImbueConfetti,Melee attacks cause confetti to appear
BuffDescription.WeaponImbueCursedFlames,Melee attacks inflict enemies with cursed flames
BuffDescription.WeaponImbueFire,Melee attacks set enemies on fire
BuffDescription.WeaponImbueGold,Melee attacks make enemies drop more gold
BuffDescription.WeaponImbueIchor,Melee attacks decrease enemies defense
BuffDescription.WeaponImbueNanites,Melee attacks confuse enemies
BuffDescription.WeaponImbuePoison,Melee attacks poison enemies
BuffDescription.WeaponImbueVenom,Melee attacks inflict acid venom on your targets
BuffDescription.Webbed,You are stuck
BuffDescription.WellFed,Minor improvements to all stats
BuffDescription.WellFed_Expert,Minor improvements to all stats and increased life regeneration
BuffDescription.WellFed2,Medium improvements to all stats
BuffDescription.WellFed2_Expert,Medium improvements to all stats and increased life regeneration
BuffDescription.WellFed3,Major improvements to all stats
BuffDescription.WellFed3_Expert,Major improvements to all stats and increased life regeneration
BuffDescription.Werewolf,Physical abilities are increased
BuffDescription.Wet,You are dripping water
BuffDescription.WindPushed,The wind moves you around!
BuffDescription.Wisp,A wisp is following you
BuffDescription.WitchBroom,It flies! WITCHCRAFT!
BuffDescription.WitheredArmor,Your armor is lowered!
BuffDescription.WitheredWeapon,Your attacks are weaker!
BuffDescription.Wrath,10% increased damage
BuffDescription.ZephyrFish,It likes swimming around you
BuffName.AmberMinecartLeft,{$BuffName.MinecartLeft}
BuffName.AmberMinecartRight,{$BuffName.MinecartRight}
BuffName.AmethystMinecartLeft,{$BuffName.MinecartLeft}
BuffName.AmethystMinecartRight,{$BuffName.MinecartRight}
BuffName.AmmoBox,Ammo Box
BuffName.AmmoReservation,Ammo Reservation
BuffName.Archery,Archery
BuffName.BabyBird,Baby Finch
BuffName.BabyDinosaur,Baby Dinosaur
BuffName.BabyEater,Baby Eater
BuffName.BabyFaceMonster,Baby Face Monster
BuffName.BabyGrinch,Baby Grinch
BuffName.BabyHornet,Baby Hornet
BuffName.BabyImp,Baby Imp
BuffName.BabyPenguin,Baby Penguin
BuffName.BabyRedPanda,Baby Red Panda
BuffName.BabySkeletronHead,Baby Skeletron Head
BuffName.BabySlime,Baby Slime
BuffName.BabySnowman,Baby Snowman
BuffName.BabyTruffle,Baby Truffle
BuffName.BabyWerewolf,Baby Werewolf
BuffName.BallistaPanic,Ballista Panic!
BuffName.BasiliskMount,Basilisk Mount
BuffName.BatOfLight,Sanguine Bat
BuffName.Battle,Battle
BuffName.BeeMinecartLeft,{$BuffName.MinecartLeft}
BuffName.BeeMinecartRight,{$BuffName.MinecartRight}
BuffName.BeeMount,Bee Mount
BuffName.BeetleEndurance1,Beetle Endurance
BuffName.BeetleEndurance2,Beetle Endurance
BuffName.BeetleEndurance3,Beetle Endurance
BuffName.BeetleMight1,Beetle Might
BuffName.BeetleMight2,Beetle Might
BuffName.BeetleMight3,Beetle Might
BuffName.BeetleMinecartLeft,{$BuffName.MinecartLeft}
BuffName.BeetleMinecartRight,{$BuffName.MinecartRight}
BuffName.BetsysCurse,Betsy's Curse
BuffName.Bewitched,Bewitched
BuffName.BlackCat,Black Cat
BuffName.Blackout,Blackout
BuffName.Bleeding,Bleeding
BuffName.BoneJavelin,Penetrated
BuffName.BrainOfConfusionBuff,Cerebral Mindtrick
BuffName.BrainOfCthulhuPet,Spider Brain
BuffName.BrokenArmor,Broken Armor
BuffName.Builder,Builder
BuffName.BunnyMount,Bunny Mount
BuffName.Burning,Burning
BuffName.Calm,Calm
BuffName.Campfire,Cozy Fire
BuffName.CatBast,The Bast Defense
BuffName.ChaosState,Chaos State
BuffName.Chilled,Chilled
BuffName.Clairvoyance,Clairvoyance
BuffName.CoffinMinecartLeft,{$BuffName.MinecartLeft}
BuffName.CoffinMinecartRight,{$BuffName.MinecartRight}
BuffName.CompanionCube,Companion Cube
BuffName.Confused,Confused
BuffName.CoolWhipPlayerBuff,A Nice Buff
BuffName.Crate,Crate
BuffName.CrimsonHeart,Crimson Heart
BuffName.Cursed,Cursed
BuffName.CursedInferno,Cursed Inferno
BuffName.CursedSapling,Cursed Sapling
BuffName.CuteFishronMount,Cute Fishron Mount
BuffName.Dangersense,Dangersense
BuffName.DarkHorseMount,Dark Horse Mount
BuffName.DarkMageBookMount,Book Mount
BuffName.Darkness,Darkness
BuffName.Daybreak,Daybroken
BuffName.Dazed,Dazed
BuffName.DD2BetsyPet,Itsy Betsy
BuffName.DD2OgrePet,Baby Ogre
BuffName.DeadlySphere,Deadly Sphere
BuffName.DesertMinecartLeft,{$BuffName.MinecartLeft}
BuffName.DesertMinecartRight,{$BuffName.MinecartRight}
BuffName.DestroyerPet,Destroyer-Lite
BuffName.DiamondMinecartLeft,{$BuffName.MinecartLeft}
BuffName.DiamondMinecartRight,{$BuffName.MinecartRight}
BuffName.DiggingMoleMinecartLeft,Digging Molecart
BuffName.DiggingMoleMinecartRight,Digging Molecart
BuffName.DrillMount,Drill Mount
BuffName.DryadsWard,Dryad's Blessing
BuffName.DryadsWardDebuff,Dryad's Bane
BuffName.DukeFishronPet,Tiny Fishron
BuffName.DynamiteKitten,Dynamite Kitten
BuffName.EaterOfWorldsPet,Eater of Worms
BuffName.Electrified,Electrified
BuffName.EmeraldMinecartLeft,{$BuffName.MinecartLeft}
BuffName.EmeraldMinecartRight,{$BuffName.MinecartRight}
BuffName.EmpressBlade,Terraprisma
BuffName.Endurance,Endurance
BuffName.EverscreamPet,Everscream Sapling
BuffName.EyeballSpring,Eyeball Spring
BuffName.EyeOfCthulhuPet,Suspicious Eye
BuffName.FairyBlue,Fairy
BuffName.FairyGreen,Fairy
BuffName.FairyQueenPet,Fairy Princess
BuffName.FairyRed,Fairy
BuffName.Featherfall,Featherfall
BuffName.FennecFox,Fennec Fox
BuffName.Fishing,Fishing
BuffName.FishMinecartLeft,{$BuffName.MinecartLeft}
BuffName.FishMinecartRight,{$BuffName.MinecartRight}
BuffName.Flamingo,Flamingo
BuffName.FlinxMinion,Flinx
BuffName.Flipper,Flipper
BuffName.Frostburn,Frostburn
BuffName.Frostburn2,Frostbite
BuffName.Frozen,Frozen
BuffName.GelBalloonBuff,Sparkle Slime
BuffName.Gills,Gills
BuffName.GlitteryButterfly,Glittery Butterfly
BuffName.GolemPet,Toy Golem
BuffName.GolfCartMount,Golf Cart
BuffName.Gravitation,Gravitation
BuffName.HeartLamp,Heart Lamp
BuffName.Heartreach,Heartreach
BuffName.HellMinecartLeft,{$BuffName.MinecartLeft}
BuffName.HellMinecartRight,{$BuffName.MinecartRight}
BuffName.Honey,Honey
BuffName.HornetMinion,Hornet
BuffName.Horrified,Horrified
BuffName.Hunter,Hunter
BuffName.IceBarrier,Ice Barrier
BuffName.IceQueenPet,Ice Queen
BuffName.Ichor,Ichor
BuffName.ImpMinion,Imp
BuffName.Inferno,Inferno
BuffName.Invisibility,Invisibility
BuffName.Ironskin,Ironskin
BuffName.KingSlimePet,Slime Prince
BuffName.LadybugMinecartLeft,{$BuffName.MinecartLeft}
BuffName.LadybugMinecartRight,{$BuffName.MinecartRight}
BuffName.LavaSharkMount,Lava Shark Mount
BuffName.LeafCrystal,Leaf Crystal
BuffName.Lifeforce,Lifeforce
BuffName.LilHarpy,Lil' Harpy
BuffName.Lovestruck,Lovestruck
BuffName.Lucky,Lucky
BuffName.LunaticCultistPet,Phantasmal Dragon
BuffName.MagicLantern,Magic Lantern
BuffName.MagicPower,Magic Power
BuffName.MajesticHorseMount,Majestic Horse Mount
BuffName.ManaRegeneration,Mana Regeneration
BuffName.ManaSickness,Mana Sickness
BuffName.MartianPet,Alien Skater
BuffName.MeowmereMinecartLeft,{$BuffName.MinecartLeft}
BuffName.MeowmereMinecartRight,{$BuffName.MinecartRight}
BuffName.Merfolk,Merfolk
BuffName.Midas,Midas
BuffName.MinecartLeft,Minecart
BuffName.MinecartLeftMech,Minecart
BuffName.MinecartLeftWood,Minecart
BuffName.MinecartRight,Minecart
BuffName.MinecartRightMech,Minecart
BuffName.MinecartRightWood,Minecart
BuffName.MiniMinotaur,Mini Minotaur
BuffName.Mining,Mining
BuffName.MonsterBanner,Banner
BuffName.MoonLeech,Moon Bite
BuffName.MoonLordPet,Moonling
BuffName.NebulaUpDmg1,Damage Nebula
BuffName.NebulaUpDmg2,Damage Nebula
BuffName.NebulaUpDmg3,Damage Nebula
BuffName.NebulaUpLife1,Life Nebula
BuffName.NebulaUpLife2,Life Nebula
BuffName.NebulaUpLife3,Life Nebula
BuffName.NebulaUpMana1,Mana Nebula
BuffName.NebulaUpMana2,Mana Nebula
BuffName.NebulaUpMana3,Mana Nebula
BuffName.NightOwl,Night Owl
BuffName.NoBuilding,Creative Shock
BuffName.ObsidianSkin,Obsidian Skin
BuffName.Obstructed,Obstructed
BuffName.OgreSpit,Oozed
BuffName.Oiled,Oiled
BuffName.OnFire,On Fire!
BuffName.OnFire3,Hellfire
BuffName.PaintedHorseMount,Painted Horse Mount
BuffName.PaladinsShield,Paladin's Shield
BuffName.Panic,Panic!
BuffName.ParryDamageBuff,Striking Moment
BuffName.PartyMinecartLeft,{$BuffName.MinecartLeft}
BuffName.PartyMinecartRight,{$BuffName.MinecartRight}
BuffName.PeaceCandle,Peace Candle
BuffName.PetBunny,Pet Bunny
BuffName.PetDD2Dragon,Hoardagron
BuffName.PetDD2Gato,Propeller Gato
BuffName.PetDD2Ghost,Flickerwick
BuffName.PetLizard,Pet Lizard
BuffName.PetParrot,Pet Parrot
BuffName.PetSapling,Pet Sapling
BuffName.PetSpider,Pet Spider
BuffName.PetTurtle,Pet Turtle
BuffName.PigronMinecartLeft,{$BuffName.MinecartLeft}
BuffName.PigronMinecartRight,{$BuffName.MinecartRight}
BuffName.PigronMount,Pigron Mount
BuffName.PirateMinecartLeft,{$BuffName.MinecartLeft}
BuffName.PirateMinecartRight,{$BuffName.MinecartRight}
BuffName.PirateMinion,Pirate
BuffName.PirateShipMount,Pirate Ship Mount
BuffName.PlanteraPet,Plantera Seedling
BuffName.Plantero,Plantero
BuffName.PogoStickMount,Pogo Stick Mount
BuffName.Poisoned,Poisoned
BuffName.PotionSickness,Potion Sickness
BuffName.PumpkingPet,Jack 'O Lantern
BuffName.Puppy,Puppy
BuffName.Pygmies,Pygmies
BuffName.QueenBeePet,Honey Bee
BuffName.QueenSlimeMount,Winged Slime Mount
BuffName.QueenSlimePet,Slime Princess
BuffName.Rabies,Feral Bite
BuffName.Rage,Rage
BuffName.RapidHealing,Rapid Healing
BuffName.Ravens,Ravens
BuffName.Regeneration,Regeneration
BuffName.RubyMinecartLeft,{$BuffName.MinecartLeft}
BuffName.RubyMinecartRight,{$BuffName.MinecartRight}
BuffName.Rudolph,Rudolph
BuffName.SantankMount,Santank Mount
BuffName.SapphireMinecartLeft,{$BuffName.MinecartLeft}
BuffName.SapphireMinecartRight,{$BuffName.MinecartRight}
BuffName.ScutlixMount,Scutlix Mount
BuffName.ScytheWhipPlayerBuff,Harvest Time
BuffName.ShadowDodge,Holy Protection
BuffName.ShadowFlame,Shadowflame
BuffName.ShadowMimic,Shadow Mimic
BuffName.ShadowOrb,Shadow Orb
BuffName.SharknadoMinion,Sharknado
BuffName.SharkPup,Shark Pup
BuffName.Sharpened,Sharpened
BuffName.Shine,Shine
BuffName.ShroomMinecartLeft,{$BuffName.MinecartLeft}
BuffName.ShroomMinecartRight,{$BuffName.MinecartRight}
BuffName.Silenced,Silenced
BuffName.SkeletronPet,Skeletron Jr.
BuffName.SkeletronPrimePet,Mini Prime
BuffName.Slimed,Slime
BuffName.SlimeMount,Slime Mount
BuffName.Slow,Slow
BuffName.Smolstar,Enchanted Daggers
BuffName.SolarShield1,Solar Blaze
BuffName.SolarShield2,Solar Blaze
BuffName.SolarShield3,Solar Blaze
BuffName.Sonar,Sonar
BuffName.SoulDrain,Life Drain
BuffName.Spelunker,Spelunker
BuffName.SpiderMinion,Spider
BuffName.SpookyWoodMount,Tree Mount
BuffName.Squashling,Squashling
BuffName.StardustDragonMinion,Stardust Dragon
BuffName.StardustGuardianMinion,Stardust Guardian
BuffName.StardustMinion,Stardust Cell
BuffName.StardustMinionBleed,Celled
BuffName.StarInBottle,Star in a Bottle
BuffName.SteampunkMinecartLeft,{$BuffName.MinecartLeft}
BuffName.SteampunkMinecartRight,{$BuffName.MinecartRight}
BuffName.Stinky,Stinky
BuffName.Stoned,Stoned
BuffName.StormTiger,Desert Tiger
BuffName.Suffocation,Suffocation
BuffName.SugarGlider,Sugar Glider
BuffName.SugarRush,Sugar Rush
BuffName.Summoning,Summoning
BuffName.Sunflower,Happy!
BuffName.SunflowerMinecartLeft,{$BuffName.MinecartLeft}
BuffName.SunflowerMinecartRight,{$BuffName.MinecartRight}
BuffName.SuspiciousTentacle,Suspicious Looking Eye
BuffName.Swiftness,Swiftness
BuffName.SwordWhipPlayerBuff,Durendal's Blessing
BuffName.TheTongue,The Tongue
BuffName.Thorns,Thorns
BuffName.ThornWhipPlayerBuff,Jungle's Fury
BuffName.TikiSpirit,Tiki Spirit
BuffName.Tipsy,Tipsy
BuffName.Titan,Titan
BuffName.TitaniumStorm,Titanium Barrier
BuffName.TopazMinecartLeft,{$BuffName.MinecartLeft}
BuffName.TopazMinecartRight,{$BuffName.MinecartRight}
BuffName.TurtleMount,Turtle Mount
BuffName.TwinEyesMinion,Twins
BuffName.TwinsPet,Rez and Spaz
BuffName.UFOMinion,UFO
BuffName.UFOMount,UFO Mount
BuffName.UnicornMount,Unicorn Mount
BuffName.UpbeatStar,Estee
BuffName.VampireFrog,Vampire Frog
BuffName.Venom,Acid Venom
BuffName.VoltBunny,Volt Bunny
BuffName.VortexDebuff,Distorted
BuffName.WallOfFleshGoatMount,Goat Mount
BuffName.Warmth,Warmth
BuffName.WaterCandle,Water Candle
BuffName.WaterWalking,Water Walking
BuffName.Weak,Weak
BuffName.WeaponImbueConfetti,Weapon Imbue: Confetti
BuffName.WeaponImbueCursedFlames,Weapon Imbue: Cursed Flames
BuffName.WeaponImbueFire,Weapon Imbue: Fire
BuffName.WeaponImbueGold,Weapon Imbue: Gold
BuffName.WeaponImbueIchor,Weapon Imbue: Ichor
BuffName.WeaponImbueNanites,Weapon Imbue: Nanites
